COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Belgium,BEL,EURO,REPORTING,2021-04-25,3461650,2710245,30,23.521,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
French Guiana,GUF,AMRO,REPORTING,2021-04-30,28179,19867,9.434,6.652,,,
Montenegro,MNE,EURO,REPORTING,2021-04-25,58311,38860,9.3,6.187,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-02-24,3
Thailand,THA,SEARO,REPORTING,2021-04-25,1149666,972204,1.647,1.393,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-28,4
Greenland,GRL,EURO,OWID,2021-04-29,14139,8867,24.905,15.619,Pfizer BioNTech - Comirnaty,,1
Czechia,CZE,EURO,REPORTING,2021-04-25,2827603,1879688,26.4,17.577,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Egypt,EGY,EMRO,REPORTING,2021-05-02,1129155,883312,1.103,0.863,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-01-24,4
Poland,POL,EURO,REPORTING,2021-04-25,10365841,7714948,27.3,20.325,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Kyrgyzstan,KGZ,EURO,OWID,2021-04-12,2100,2100,0,0.032,Beijing CNBG - Inactivated,,1
Ghana,GHA,AFRO,REPORTING,2021-05-03,847871,847871,2.729,2.729,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
Qatar,QAT,EMRO,OWID,2021-05-02,1603913,1017019,55.671,35.3,Pfizer BioNTech - Comirnaty,,1
Syrian Arab Republic,SYR,EMRO,OWID,2021-04-08,2500,2500,0.014,0.014,Gamaleya - Sputnik V,,1
Georgia,GEO,EURO,REPORTING,2021-04-25,33733,33733,0.8,0.846,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-03-17,2
Gabon,GAB,AFRO,REPORTING,2021-05-03,10515,7606,0.472,0.342,Beijing CNBG - Inactivated,2021-03-23,1
Germany,DEU,EURO,REPORTING,2021-04-25,25489567,19521195,30.6,23.472,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Sri Lanka,LKA,SEARO,REPORTING,2021-04-21,927711,927711,4.332,4.332,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-29,3
Suriname,SUR,AMRO,REPORTING,2021-04-30,36856,36856,6.283,6.283,"AstraZeneca - AZD1222,SII - Covishield",2021-02-23,2
Ethiopia,ETH,AFRO,REPORTING,2021-05-03,1168268,1168268,1.016,1.016,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-03-13,3
Andorra,AND,EURO,OWID,2021-04-19,26414,21733,34.2,28.128,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Switzerland,CHE,EURO,OWID,2021-04-25,2431709,1566793,28.1,18.104,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
The United Kingdom,GBR,EURO,OWID,2021-04-28,46650008,33752885,68.7,49.72,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-04-30,762044,547471,6.528,4.69,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3
Estonia,EST,EURO,REPORTING,2021-04-25,409573,309756,30.8,23.308,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Anguilla,AIA,AMRO,REPORTING,2021-04-30,8925,6742,59.492,44.941,AstraZeneca - AZD1222,2021-02-05,1
Uruguay,URY,AMRO,REPORTING,2021-04-30,1809291,1165538,52.085,33.553,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Denmark,DNK,EURO,REPORTING,2021-04-25,1805829,1223350,31,21.01,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
