COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Luxembourg,LUX,EURO,REPORTING,2021-04-25,181212,130593,28.9,20.858,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Lesotho,LSO,AFRO,REPORTING,2021-05-03,20267,20267,0.946,0.946,SII - Covishield,2021-03-10,1
Slovenia,SVN,EURO,REPORTING,2021-04-25,583287,408096,27.8,19.472,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Montserrat,MSR,AMRO,REPORTING,2021-04-30,1915,1299,38.308,25.985,AstraZeneca - AZD1222,2021-02-08,1
Nauru,NRU,WPRO,REPORTING,2021-04-23,2388,1755,22.042,16.199,"AstraZeneca - AZD1222,SII - Covishield",2021-04-09,2
Nigeria,NGA,AFRO,REPORTING,2021-05-03,1188839,1188839,0.577,0.577,SII - Covishield,2021-03-05,1
North Macedonia,MKD,EURO,REPORTING,2021-04-25,60626,53270,2.9,2.557,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-17,4
Iraq,IRQ,EMRO,REPORTING,2021-04-19,190264,176419,0.473,0.439,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4
France,FRA,EURO,REPORTING,2021-04-25,19643905,14102290,29.2,20.948,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Seychelles,SYC,AFRO,REPORTING,2021-05-03,116957,66433,118.923,67.55,"Beijing CNBG - Inactivated,SII - Covishield",2021-01-10,2
Zimbabwe,ZWE,AFRO,REPORTING,2021-05-03,524199,430068,3.527,2.894,"Beijing CNBG - Inactivated,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3
Jamaica,JAM,AMRO,REPORTING,2021-04-30,139993,139993,4.728,4.728,"AstraZeneca - AZD1222,SII - Covishield",2021-03-10,2
Malawi,MWI,AFRO,REPORTING,2021-05-03,302206,302206,1.58,1.58,SII - Covishield,2021-03-11,1
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-04-30,28423,16340,73.41,42.203,Pfizer BioNTech - Comirnaty,2021-01-11,1
Mozambique,MOZ,AFRO,REPORTING,2021-05-03,141640,81025,0.453,0.259,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-08,2
Mexico,MEX,AMRO,REPORTING,2021-04-30,12235767,5483485,9.49,4.253,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,5
Belize,BLZ,AMRO,REPORTING,2021-04-30,42311,42100,10.641,10.588,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-01,3
Benin,BEN,AFRO,REPORTING,2021-05-03,10051,10051,0.083,0.083,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2
